,State,Violent/100K,Number of Laws
0,Alabama 2015,473.0,10
1,Alabama 2016,532.3,10
2,Alabama Percent change,12.5,0
3,Alaska 2015,730.8,4
4,Alaska 2016,804.2,4
5,Alaska Percent change,10.0,0
6,Arizona 2015,410.2,11
7,Arizona 2016,470.1,11
8,Arizona Percent change,14.6,0
9,Arkansas 2015,529.5,11
10,Arkansas 2016,550.9,11
11,Arkansas Percent change,4.0,0
12,California 2015,428.0,102
13,California 2016,445.3,104
14,California Percent change,4.1,-2
15,Colorado 2015,318.4,30
16,Colorado 2016,342.6,30
17,Colorado Percent change,7.6,0
18,Connecticut 2015,221.4,84
19,Connecticut 2016,227.1,89
20,Connecticut Percent change,2.6,-5
21,Delaware 2015,504.2,38
22,Delaware 2016,508.8,39
23,Delaware Percent change,0.9,-1
24,Florida 2015,462.5,21
25,Florida 2016,430.3,21
26,Florida Percent change,-6.9,0
27,Georgia 2015,381.3,6
28,Georgia 2016,397.6,6
29,Georgia Percent change,4.3,0
30,Hawaii 2015,247.7,77
31,Hawaii 2016,309.2,78
32,Hawaii Percent change,24.8,-1
33,Idaho 2015,217.4,6
34,Idaho 2016,230.3,4
35,Idaho Percent change,5.9,2
36,Illinois 2015,387.5,64
37,Illinois 2016,436.3,64
38,Illinois Percent change,12.6,0
39,Indiana 2015,383.7,11
40,Indiana 2016,404.7,12
41,Indiana Percent change,5.5,-1
42,Iowa 2015,276.1,25
43,Iowa 2016,290.6,25
44,Iowa Percent change,5.3,0
45,Kansas 2015,395.0,7
46,Kansas 2016,380.4,7
47,Kansas Percent change,-3.7,0
48,Kentucky 2015,223.5,7
49,Kentucky 2016,232.3,7
50,Kentucky Percent change,4.0,0
51,Louisiana 2015,539.8,12
52,Louisiana 2016,566.1,12
53,Louisiana Percent change,4.9,0
54,Maine 2015,129.8,12
55,Maine 2016,123.8,12
56,Maine Percent change,-4.7,0
57,Maryland 2015,470.1,64
58,Maryland 2016,472.0,64
59,Maryland Percent change,0.4,0
60,Massachusetts 2015,389.9,100
61,Massachusetts 2016,376.9,100
62,Massachusetts Percent change,-3.3,0
63,Michigan 2015,420.6,21
64,Michigan 2016,459.0,21
65,Michigan Percent change,9.1,0
66,Minnesota 2015,242.9,41
67,Minnesota 2016,242.6,41
68,Minnesota Percent change,-0.1,0
69,Mississippi 2015,274.0,5
70,Mississippi 2016,280.5,5
71,Mississippi Percent change,2.4,0
72,Missouri 2015,498.5,8
73,Missouri 2016,519.4,7
74,Missouri Percent change,4.2,1
75,Montana 2015,353.4,4
76,Montana 2016,368.3,4
77,Montana Percent change,4.2,0
78,Nebraska 2015,272.8,22
79,Nebraska 2016,291.0,22
80,Nebraska Percent change,6.7,0
81,Nevada 2015,697.6,15
82,Nevada 2016,678.1,15
83,Nevada Percent change,-2.8,0
84,New Hampshire 2015,202.4,10
85,New Hampshire 2016,197.6,10
86,New Hampshire Percent change,-2.4,0
87,New Jersey 2015,256.0,67
88,New Jersey 2016,245.0,67
89,New Jersey Percent change,-4.3,0
90,New Mexico 2015,657.2,10
91,New Mexico 2016,702.5,10
92,New Mexico Percent change,6.9,0
93,New York 2015,380.4,75
94,New York 2016,376.2,75
95,New York Percent change,-1.1,0
96,North Carolina 2015,346.1,30
97,North Carolina 2016,372.2,30
98,North Carolina Percent change,7.5,0
99,North Dakota 2015,257.5,14
100,North Dakota 2016,251.1,14
101,North Dakota Percent change,-2.5,0
102,Ohio 2015,296.2,16
103,Ohio 2016,300.3,16
104,Ohio Percent change,1.4,0
105,Oklahoma 2015,428.6,9
106,Oklahoma 2016,449.8,9
107,Oklahoma Percent change,5.0,0
108,Oregon 2015,265.4,33
109,Oregon 2016,264.6,35
110,Oregon Percent change,-0.3,-2
111,Pennsylvania 2015,315.4,36
112,Pennsylvania 2016,316.4,36
113,Pennsylvania Percent change,0.3,0
114,Rhode Island 2015,243.0,43
115,Rhode Island 2016,238.9,43
116,Rhode Island Percent change,-1.7,0
117,South Carolina 2015,499.5,12
118,South Carolina 2016,501.8,12
119,South Carolina Percent change,0.5,0
120,South Dakota 2015,384.9,5
121,South Dakota 2016,418.4,5
122,South Dakota Percent change,8.7,0
123,Tennessee 2015,618.9,24
124,Tennessee 2016,632.9,22
125,Tennessee Percent change,2.3,2
126,Texas 2015,412.7,20
127,Texas 2016,434.4,18
128,Texas Percent change,5.3,2
129,Utah 2015,238.7,11
130,Utah 2016,242.8,11
131,Utah Percent change,1.7,0
132,Vermont 2015,119.3,6
133,Vermont 2016,158.3,6
134,Vermont Percent change,32.7,0
135,Virginia 2015,199.6,12
136,Virginia 2016,217.6,13
137,Virginia Percent change,9.0,-1
138,Washington 2015,286.4,41
139,Washington 2016,302.2,43
140,Washington Percent change,5.5,-2
141,West Virginia 2015,347.5,24
142,West Virginia 2016,358.1,21
143,West Virginia Percent change,3.1,3
144,Wisconsin 2015,304.3,23
145,Wisconsin 2016,305.9,23
146,Wisconsin Percent change,0.6,0
147,Wyoming 2015,221.6,9
148,Wyoming 2016,244.2,9
149,Wyoming Percent change,10.2,0
